date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:44	55477/55477	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Apr%202022%2015:36:40%20GMT	https://duruthemes.com/demo/html/cappa/demo1/index.html	C:/Users/mdeht/OneDrive/Desktop/cilected/duruthemes.com/demo/html/cappa/demo1/index.html	(from )
12:16:45	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Aug%202022%2006:46:42%20GMT	https://duruthemes.com/robots.txt		(from )
12:16:46	5993/5993	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Apr%202022%2015:38:12%20GMT	https://duruthemes.com/demo/html/cappa/demo1/img/favicon.png	C:/Users/mdeht/OneDrive/Desktop/cilected/duruthemes.com/demo/html/cappa/demo1/img/favicon.png	(from https://duruthemes.com/demo/html/cappa/demo1/index.html)
12:16:46	798/798	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Apr%202022%2015:37:43%20GMT	https://duruthemes.com/demo/html/cappa/demo1/css/plugins.css	C:/Users/mdeht/OneDrive/Desktop/cilected/duruthemes.com/demo/html/cappa/demo1/css/plugins.css	(from https://duruthemes.com/demo/html/cappa/demo1/index.html)
12:16:47	99185/99185	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Jun%202022%2018:13:22%20GMT	https://duruthemes.com/demo/html/cappa/demo1/css/style.css	C:/Users/mdeht/OneDrive/Desktop/cilected/duruthemes.com/demo/html/cappa/demo1/css/style.css	(from https://duruthemes.com/demo/html/cappa/demo1/index.html)
12:16:47	9165/9165	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Apr%202022%2015:38:12%20GMT	https://duruthemes.com/demo/html/cappa/demo1/img/logo.png	C:/Users/mdeht/OneDrive/Desktop/cilected/duruthemes.com/demo/html/cappa/demo1/img/logo.png	(from https://duruthemes.com/demo/html/cappa/demo1/index.html)
12:16:47	57125/57125	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Apr%202022%2015:36:41%20GMT	https://duruthemes.com/demo/html/cappa/demo1/index2.html	C:/Users/mdeht/OneDrive/Desktop/cilected/duruthemes.com/demo/html/cappa/demo1/index2.html	(from https://duruthemes.com/demo/html/cappa/demo1/index.html)
12:16:48	60874/60874	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Apr%202022%2015:36:39%20GMT	https://duruthemes.com/demo/html/cappa/demo1/index3.html	C:/Users/mdeht/OneDrive/Desktop/cilected/duruthemes.com/demo/html/cappa/demo1/index3.html	(from https://duruthemes.com/demo/html/cappa/demo1/index.html)
12:16:48	56652/56652	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Apr%202022%2015:36:42%20GMT	https://duruthemes.com/demo/html/cappa/demo1/index4.html	C:/Users/mdeht/OneDrive/Desktop/cilected/duruthemes.com/demo/html/cappa/demo1/index4.html	(from https://duruthemes.com/demo/html/cappa/demo1/index.html)
12:16:48	53476/53476	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Apr%202022%2015:41:11%20GMT	https://duruthemes.com/demo/html/cappa/demo1/index5.html	C:/Users/mdeht/OneDrive/Desktop/cilected/duruthemes.com/demo/html/cappa/demo1/index5.html	(from https://duruthemes.com/demo/html/cappa/demo1/index.html)
